electorate number,electorate name,ACT New Zealand,Animal Justice Party,Aotearoa Legalise Cannabis Party,DemocracyNZ,Freedoms NZ,Green Party,Labour Party,Leighton Baker Party,National Party,New Conservatives,New Nation Party,New Zealand First Party,New Zealand Loyal,NewZeal,Te Pāti Māori,The Opportunities Party (TOP),Women’s Rights Party,Total Valid Party Votes,Informal Party Votes
58,Wairarapa,4113,70,150,60,74,2942,10664,29,15264,45,24,3166,843,127,307,559,40,38477,143
59,Waitaki,4595,52,129,258,45,3054,8348,28,16508,60,8,2697,694,243,113,685,26,37543,173
60,Wellington Central,1490,46,76,9,23,11820,8501,9,7342,18,14,745,48,38,724,1743,32,32678,81
61,West Coast-Tasman,4699,74,213,106,237,3642,8732,32,12224,52,15,3574,1156,208,221,597,36,35818,220
62,Whanganui,3274,80,155,65,66,2425,9420,15,12856,78,16,4003,423,258,455,367,26,33982,170
63,Whangaparāoa,4587,73,90,140,68,2557,5944,21,20249,52,11,2455,481,353,151,564,32,37828,117
64,Whangārei,3275,62,174,285,76,3180,7963,22,14059,38,29,4847,698,272,397,542,29,35948,222
65,Wigram,1950,78,137,54,44,4150,8970,50,10190,83,17,1621,188,152,197,1296,28,29205,157
66,Hauraki-Waikato,220,10,152,20,223,1251,8031,14,917,11,8,760,206,104,5504,132,14,17577,274
67,Ikaroa-Rāwhiti,151,16,185,23,122,1299,11052,32,739,19,12,733,198,144,4772,116,15,19628,289
68,Tāmaki Makaurau,180,21,145,17,313,2219,7808,7,908,9,2,670,114,92,5297,168,13,17983,206
69,Te Tai Hauāuru,203,23,186,24,168,1445,7978,14,899,20,5,855,233,99,6450,125,10,18737,275
70,Te Tai Tokerau,231,15,300,48,177,1862,9287,16,1185,9,25,1484,277,167,5062,151,12,20308,231
71,Te Tai Tonga,493,35,285,49,119,3372,7759,40,1860,8,12,1227,345,92,4471,393,13,20573,187
72,Waiariki,178,18,136,25,297,1144,9238,12,776,8,4,895,179,116,7773,122,18,20939,352
